mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,train_cv_gap
0.253401517868042,0.0015652599350881615,0.013335148493448893,6.071029493261954e-05,5,sqrt,2,150,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.8642632381619707,0.8859606197358232,0.8682554094405154,0.872826422446103,0.009429199743819807,11,0.9195875303430209,0.9201442380699038,0.912576874421624,0.9174362142781828,0.003443580380403392,0.044609791832079804
0.2537190119425456,0.0018521629358801087,0.013451337814331055,0.00012523490481779935,5,sqrt,8,150,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 150}",0.86532168998884,0.8841296972816511,0.868919162199747,0.872790183156746,0.008151641430564934,12,0.913599765132055,0.9126131790978043,0.9095817822420685,0.9119315754906426,0.0017096752584487714,0.039141392333896685
0.7185014088948568,0.0073409001505675255,0.012665271759033203,0.00011410332264368888,5,0.6,2,150,"{'model__max_depth': 5, 'model__max_features': 0.6, 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.8971645207346233,0.8900842618004142,0.8935298024163616,0.8935928616504665,0.0028908475105772677,10,0.9340474257281282,0.9506345145480422,0.9352513673037938,0.9399777691933213,0.007551469393256144,0.04638490754285485
0.7152090072631836,0.007103929315550559,0.01267679532368978,6.45747184047243e-05,5,0.6,8,150,"{'model__max_depth': 5, 'model__max_features': 0.6, 'model__min_samples_leaf': 8, 'model__n_estimators': 150}",0.9003981579805445,0.8982175631239772,0.8926951602358323,0.8971036271134514,0.0032418804872501486,9,0.9309029805694362,0.9488741566403045,0.9338883337066153,0.937888490305452,0.00786306691454634,0.04078486319200059
0.35710962613423664,0.004598342144206518,0.017539024353027344,0.0001763992455035097,10,sqrt,2,150,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.9263933690129285,0.938474514008477,0.9295021184452167,0.9314566671555408,0.005122090172097008,6,0.9966080464722382,0.9967370091562011,0.9957701295442536,0.9963717283908977,0.00042864027083816054,0.06491506123535695
0.3422539234161377,0.004020186343923301,0.017127593358357746,0.00020545783208199636,10,sqrt,8,150,"{'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 150}",0.9162859501524239,0.9283101163762387,0.9219311817096475,0.9221757494127701,0.004911890563760591,8,0.9794635112540323,0.9808914659726093,0.9793107047288029,0.9798885606518147,0.0007118996981769329,0.05771281123904459
0.9575697580973307,0.01587500814449154,0.014818588892618815,0.00010132412498288127,10,0.6,2,150,"{'model__max_depth': 10, 'model__max_features': 0.6, 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.93513804805528,0.9283777250122456,0.943643069351724,0.9357196141397499,0.006245603722281562,3,0.99501743633127,0.997388286502389,0.9960155857124104,0.9961404361820231,0.0009719133580367999,0.06042082204227317
0.9068799813588461,0.024059199745419837,0.014719406763712565,9.074373851276271e-05,10,0.6,8,150,"{'model__max_depth': 10, 'model__max_features': 0.6, 'model__min_samples_leaf': 8, 'model__n_estimators': 150}",0.935866910668236,0.9274238594233901,0.933559063574032,0.9322832778885527,0.0035629576119874354,5,0.9827860049657419,0.9852834223400644,0.9852032119324351,0.9844242130794137,0.0011588508086745213,0.05214093519086105
0.372885783513387,0.0032862500841174948,0.018398602803548176,0.00010025405965234556,,sqrt,2,150,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.9413426503640641,0.94499004452783,0.9413954262929547,0.9425760403949496,0.0017070946644011477,1,0.9999319223083768,0.9998028487381819,0.9996922705327494,0.9998090138597694,9.793450169535521e-05,0.057232973464819814
0.34825801849365234,0.0025683373236773787,0.01749873161315918,0.0001480459714180876,,sqrt,8,150,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__n_estimators': 150}",0.9178227807752974,0.9250333085842002,0.9244025692765957,0.9224195528786977,0.0032605923129076816,7,0.9831498325965685,0.9833198791483687,0.9811727878378714,0.9825474998609361,0.0009745439334081531,0.060127946982238445
1.0073965390523274,0.026756286430125852,0.01537028948465983,4.779577333874838e-05,,0.6,2,150,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 2, 'model__n_estimators': 150}",0.9410771309727485,0.933596268125284,0.9440753877533686,0.939582928950467,0.004406621291304701,2,0.9998033508622934,0.9994227482658784,0.9995483906875606,0.9995914966052442,0.000158341770029202,0.060008567654777134
0.9170753955841064,0.025783866990885137,0.014793713887532553,0.00017906175324311507,,0.6,8,150,"{'model__max_depth': None, 'model__max_features': 0.6, 'model__min_samples_leaf': 8, 'model__n_estimators': 150}",0.9366273031908248,0.9281888891262113,0.9329798458055322,0.9325986793741894,0.0034554955136953816,4,0.9843287040238248,0.9860010907975467,0.9859686341195715,0.9854328096469809,0.0007808330078833236,0.05283413027279149
